

14:33:39  %usr  %nice   %sys   %idle
14:33:49   25      0      6     69
14:33:59   10      0      5     85
14:34:09    9      0      4     87
14:34:19    8      0      3     90
14:34:29    7      0      3     90
14:34:39    6      0      3     91
14:34:49    4      0      2     94
14:34:59    9      0      5     86
14:35:09   10      0      5     84
14:35:19   16      0      6     78
14:35:29   17      0      6     77
14:35:39    8      0      4     87
14:35:49   26      0     12     62
14:35:59   25      0     15     60
14:36:09   12      0      7     81
14:36:19    6      0      4     90
14:36:29   12      0      6     81
14:36:39   13      0      6     80
14:36:49   14      0      6     80
14:36:59   15      0      7     79
14:37:09   14      0      6     80
14:37:19    5      0      4     91
14:37:29    4      0      3     93
14:37:39    7      0      2     90
14:37:49    7      0      5     88
14:37:59   10      0      5     85
14:38:09   21      0      7     72
14:38:19   21      0      5     73
14:38:29   14      0      4     82
14:38:39    3      0      2     95
14:38:49    2      0      2     96
14:38:59   10      0      4     86
14:39:09    4      0      3     93
14:39:19    5      0      3     92
14:39:29    6      0      3     91
14:39:39    4      0      3     93
14:39:49   11      0      3     85
14:39:59    3      0      3     93
14:40:09    6      0      3     91
14:40:19    7      0      4     90
14:40:29    8      0      4     89
14:40:39   29      0      9     62
14:40:49   22      0      7     71
14:40:59   17      0      6     77
14:41:09   18      0      6     76
14:41:19   11      0      4     84
14:41:29    9      0      4     87
14:41:39   11      0      6     84
14:41:49   11      0      5     84
14:41:59   12      0      5     83
14:42:09    9      0      4     87
14:42:19   14      0      5     81
14:42:29    6      0      4     90
14:42:39    6      0      3     90
14:42:49    4      0      3     93
14:42:59    5      0      4     92
14:43:09    5      0      3     92
14:43:19    4      0      3     92
14:43:29    7      0      4     89
14:43:39    6      0      4     89
Average:     10      0      4     84   
