          disk0       cpu     load average
    KB/t tps  MB/s  us sy id   1m   5m   15m
   20.79  36  0.73   8  4 88  2.10 2.10 2.28
  100.90  28  2.80  25  6 69  2.09 2.10 2.28
   56.67  17  0.94  11  5 85  2.15 2.11 2.28
   25.43   1  0.03   9  4 87  2.29 2.14 2.29
   14.20   5  0.07   8  3 90  2.24 2.14 2.29
   13.81   5  0.07   7  3 90  2.29 2.15 2.29
    0.00   0  0.00   6  3 91  2.17 2.13 2.28
    0.00   0  0.00   3  2 94  1.99 2.09 2.26
   19.52  14  0.27   9  5 86  2.14 2.12 2.27
  184.36   4  0.81  10  5 84  2.20 2.13 2.27
   31.33   1  0.04  16  6 78  2.17 2.12 2.27
   16.03  38  0.60  17  6 77  2.44 2.19 2.29
   13.36  18  0.23   8  4 88  2.38 2.18 2.28
   20.23  24  0.47  26 12 62  2.63 2.24 2.30
   16.84  48  0.80  25 15 60  2.53 2.23 2.30
   12.97  20  0.25  12  7 81  2.38 2.21 2.29
   14.38   8  0.11   6  4 90  2.87 2.31 2.33
   20.04  24  0.47  12  6 81  3.46 2.45 2.38
   12.65  21  0.26  13  6 80  3.34 2.45 2.37
   62.05  17  1.03  14  6 80  3.05 2.41 2.36
          disk0       cpu     load average
    KB/t tps  MB/s  us sy id   1m   5m   15m
   19.48  20  0.37  15  7 79  2.81 2.38 2.35
   16.71   9  0.15  14  6 80  2.54 2.34 2.33
   18.19  10  0.18   5  4 91  2.38 2.31 2.32
   16.99  13  0.22   4  3 93  2.40 2.31 2.33
   71.36  11  0.78   7  2 90  2.42 2.32 2.33
   20.09   5  0.09   7  4 88  2.28 2.29 2.32
   20.84  35  0.72  10  5 85  2.23 2.28 2.31
    9.57  10  0.09  21  7 72  2.11 2.26 2.31
   23.65  22  0.52  21  5 73  2.09 2.25 2.30
   66.15  42  2.71  14  4 82  2.15 2.25 2.30
  109.00   8  0.82   3  2 95  2.13 2.25 2.30
    0.00   0  0.00   2  2 96  1.96 2.21 2.28
   16.32  12  0.19  10  4 86  2.12 2.23 2.29
  149.02  18  2.62   4  3 93  2.25 2.26 2.30
    5.50   1  0.00   5  3 92  2.21 2.25 2.30
   13.04  17  0.21   6  3 91  2.11 2.22 2.29
  200.26   5  0.92   4  3 93  2.08 2.21 2.28
   36.00   0  0.01  11  3 85  1.92 2.17 2.27
   55.55  25  1.34   3  3 93  1.93 2.17 2.26
  418.00   2  0.73   6  3 91  1.79 2.13 2.25
          disk0       cpu     load average
    KB/t tps  MB/s  us sy id   1m   5m   15m
   10.00   0  0.00   7  4 90  1.82 2.12 2.24
   14.05   4  0.06   8  4 89  1.85 2.12 2.24
   20.94  26  0.54  29  9 62  2.01 2.15 2.25
   35.90  38  1.34  22  6 72  2.24 2.19 2.26
   14.16  27  0.37  17  6 77  2.20 2.18 2.26
   21.18   5  0.11  18  7 76  2.62 2.28 2.29
   68.99  20  1.36  11  4 84  2.44 2.25 2.28
   56.76  37  2.03   9  4 87  2.30 2.22 2.27
   15.75   2  0.02  10  6 84  2.10 2.18 2.26
   84.91  11  0.92  11  5 84  2.16 2.19 2.26
   16.41  18  0.29  12  5 82  2.51 2.27 2.28
   11.40   6  0.07   9  4 87  2.42 2.26 2.28
   13.87  17  0.24  14  5 81  2.28 2.23 2.27
   53.90  33  1.76   6  4 90  2.17 2.21 2.26
  182.79   6  1.00   6  3 90  2.23 2.22 2.26
   26.65   5  0.14   4  3 93  2.34 2.25 2.27
   14.19  10  0.15   5  4 91  2.44 2.27 2.28
    0.00   0  0.00   5  3 92  2.21 2.23 2.26
   10.00   0  0.00   5  3 92  2.18 2.22 2.26
   76.71  11  0.86   7  4 89  2.22 2.23 2.26
