

14:33:39    IFACE    Ipkts/s      Ibytes/s     Opkts/s      Obytes/s

14:33:49    lo0            0             0           0             0
14:33:49    gif0           0             0           0             0
14:33:49    stf0           0             0           0             0
14:33:49    en0           58         14721          11          2424
14:33:49    en1            0             0           0             0
14:33:49    en2            0             0           0             0
14:33:49    p2p0           0             0           0             0
14:33:49    awdl0          0             0           0             0
14:33:49    bridge0        0             0           0             0

14:33:59    lo0            0             0           0             0
14:33:59    gif0           0             0           0             0
14:33:59    stf0           0             0           0             0
14:33:59    en0           65         14064           7          1598
14:33:59    en1            0             0           0             0
14:33:59    en2            0             0           0             0
14:33:59    p2p0           0             0           0             0
14:33:59    awdl0          0             0           0             0
14:33:59    bridge0        0             0           0             0

14:34:09    lo0            0             0           0             0
14:34:09    gif0           0             0           0             0
14:34:09    stf0           0             0           0             0
14:34:09    en0           69         13033           3           972
14:34:09    en1            0             0           0             0
14:34:09    en2            0             0           0             0
14:34:09    p2p0           0             0           0             0
14:34:09    awdl0          0             0           0             0
14:34:09    bridge0        0             0           0             0

14:34:19    lo0            0             0           0             0
14:34:19    gif0           0             0           0             0
14:34:19    stf0           0             0           0             0
14:34:19    en0           73         13637           2           218
14:34:19    en1            0             0           0             0
14:34:19    en2            0             0           0             0
14:34:19    p2p0           0             0           0             0
14:34:19    awdl0          0             0           0             0
14:34:19    bridge0        0             0           0             0

14:34:29    lo0            0             0           0             0
14:34:29    gif0           0             0           0             0
14:34:29    stf0           0             0           0             0
14:34:29    en0           47          9770           5          1144
14:34:29    en1            0             0           0             0
14:34:29    en2            0             0           0             0
14:34:29    p2p0           0             0           0             0
14:34:29    awdl0          0             0           0             0
14:34:29    bridge0        0             0           0             0

14:34:39    lo0            0             0           0             0
14:34:39    gif0           0             0           0             0
14:34:39    stf0           0             0           0             0
14:34:39    en0           58         10762           4          1037
14:34:39    en1            0             0           0             0
14:34:39    en2            0             0           0             0
14:34:39    p2p0           0             0           0             0
14:34:39    awdl0          0             0           0             0
14:34:39    bridge0        0             0           0             0

14:34:49    lo0            0             0           0             0
14:34:49    gif0           0             0           0             0
14:34:49    stf0           0             0           0             0
14:34:49    en0           50          9416           3           585
14:34:49    en1            0             0           0             0
14:34:49    en2            0             0           0             0
14:34:49    p2p0           0             0           0             0
14:34:49    awdl0          0             0           0             0
14:34:49    bridge0        0             0           0             0

14:34:59    lo0            0             0           0             0
14:34:59    gif0           0             0           0             0
14:34:59    stf0           0             0           0             0
14:34:59    en0           65         14015           5           842
14:34:59    en1            0             0           0             0
14:34:59    en2            0             0           0             0
14:34:59    p2p0           0             0           0             0
14:34:59    awdl0          0             0           0             0
14:34:59    bridge0        0             0           0             0

14:35:09    lo0            0             0           0             0
14:35:09    gif0           0             0           0             0
14:35:09    stf0           0             0           0             0
14:35:09    en0           79         17700           7          1400
14:35:09    en1            0             0           0             0
14:35:09    en2            0             0           0             0
14:35:09    p2p0           0             0           0             0
14:35:09    awdl0          0             0           0             0
14:35:09    bridge0        0             0           0             0

14:35:19    lo0            0             0           0             0
14:35:19    gif0           0             0           0             0
14:35:19    stf0           0             0           0             0
14:35:19    en0          100         27567          16          3961
14:35:19    en1            0             0           0             0
14:35:19    en2            0             0           0             0
14:35:19    p2p0           0             0           0             0
14:35:19    awdl0          0             0           0             0
14:35:19    bridge0        0             0           0             0

14:35:29    lo0            0             0           0             0
14:35:29    gif0           0             0           0             0
14:35:29    stf0           0             0           0             0
14:35:29    en0           97         34993          38          7602
14:35:29    en1            0             0           0             0
14:35:29    en2            0             0           0             0
14:35:29    p2p0           0             0           0             0
14:35:29    awdl0          0             0           0             0
14:35:29    bridge0        0             0           0             0

14:35:39    lo0            0             0           0             0
14:35:39    gif0           0             0           0             0
14:35:39    stf0           0             0           0             0
14:35:39    en0           52         17397          22          2855
14:35:39    en1            0             0           0             0
14:35:39    en2            0             0           0             0
14:35:39    p2p0           0             0           0             0
14:35:39    awdl0          0             0           0             0
14:35:39    bridge0        0             0           0             0

14:35:49    lo0            0             0           0             0
14:35:49    gif0           0             0           0             0
14:35:49    stf0           0             0           0             0
14:35:49    en0          152        109361          89         13145
14:35:49    en1            0             0           0             0
14:35:49    en2            0             0           0             0
14:35:49    p2p0           0             0           0             0
14:35:49    awdl0          0             0           0             0
14:35:49    bridge0        0             0           0             0

14:35:59    lo0            0             0           0             0
14:35:59    gif0           0             0           0             0
14:35:59    stf0           0             0           0             0
14:35:59    en0          157        124099          84          9456
14:35:59    en1            0             0           0             0
14:35:59    en2            0             0           0             0
14:35:59    p2p0           0             0           0             0
14:35:59    awdl0          0             0           0             0
14:35:59    bridge0        0             0           0             0

14:36:09    lo0            0             0           0             0
14:36:09    gif0           0             0           0             0
14:36:09    stf0           0             0           0             0
14:36:09    en0           63         12819           6           950
14:36:09    en1            0             0           0             0
14:36:09    en2            0             0           0             0
14:36:09    p2p0           0             0           0             0
14:36:09    awdl0          0             0           0             0
14:36:09    bridge0        0             0           0             0

14:36:19    lo0            0             0           0             0
14:36:19    gif0           0             0           0             0
14:36:19    stf0           0             0           0             0
14:36:19    en0           51         10356           5          1207
14:36:19    en1            0             0           0             0
14:36:19    en2            0             0           0             0
14:36:19    p2p0           0             0           0             0
14:36:19    awdl0          0             0           0             0
14:36:19    bridge0        0             0           0             0

14:36:29    lo0            0             0           0             0
14:36:29    gif0           0             0           0             0
14:36:29    stf0           0             0           0             0
14:36:29    en0           40         23465          26          4943
14:36:29    en1            0             0           0             0
14:36:29    en2            0             0           0             0
14:36:29    p2p0           0             0           0             0
14:36:29    awdl0          0             0           0             0
14:36:29    bridge0        0             0           0             0

14:36:39    lo0            0             0           0             0
14:36:39    gif0           0             0           0             0
14:36:39    stf0           0             0           0             0
14:36:39    en0           14          5602          12          2534
14:36:39    en1            0             0           0             0
14:36:39    en2            0             0           0             0
14:36:39    p2p0           0             0           0             0
14:36:39    awdl0          0             0           0             0
14:36:39    bridge0        0             0           0             0

14:36:49    lo0            0             0           0             0
14:36:49    gif0           0             0           0             0
14:36:49    stf0           0             0           0             0
14:36:49    en0           64         17216          20          4827
14:36:49    en1            0             0           0             0
14:36:49    en2            0             0           0             0
14:36:49    p2p0           0             0           0             0
14:36:49    awdl0          0             0           0             0
14:36:49    bridge0        0             0           0             0

14:36:59    lo0            0             0           0             0
14:36:59    gif0           0             0           0             0
14:36:59    stf0           0             0           0             0
14:36:59    en0           83         19812          13          2974
14:36:59    en1            0             0           0             0
14:36:59    en2            0             0           0             0
14:36:59    p2p0           0             0           0             0
14:36:59    awdl0          0             0           0             0
14:36:59    bridge0        0             0           0             0

14:37:09    lo0            0             0           0             0
14:37:09    gif0           0             0           0             0
14:37:09    stf0           0             0           0             0
14:37:09    en0           54         13815          13          4046
14:37:09    en1            0             0           0             0
14:37:09    en2            0             0           0             0
14:37:09    p2p0           0             0           0             0
14:37:09    awdl0          0             0           0             0
14:37:09    bridge0        0             0           0             0

14:37:19    lo0            0             0           0             0
14:37:19    gif0           0             0           0             0
14:37:19    stf0           0             0           0             0
14:37:19    en0           33          6138           6          1347
14:37:19    en1            0             0           0             0
14:37:19    en2            0             0           0             0
14:37:19    p2p0           0             0           0             0
14:37:19    awdl0          0             0           0             0
14:37:19    bridge0        0             0           0             0

14:37:29    lo0            0             0           0             0
14:37:29    gif0           0             0           0             0
14:37:29    stf0           0             0           0             0
14:37:29    en0           35          7730           7          1262
14:37:29    en1            0             0           0             0
14:37:29    en2            0             0           0             0
14:37:29    p2p0           0             0           0             0
14:37:29    awdl0          0             0           0             0
14:37:29    bridge0        0             0           0             0

